record_id,device_id,session_id,step_in_session,timestamp,accel_x_g,accel_y_g,accel_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,vibration_rms_g,temperature_c,fault_level,fault_name,severity_score
63,DC_Mini_Motor_01,1,62,2026-05-01 09:15:30,-0.1577,0.1818,0.7424,0.024,-3.419,-0.045,0.3539,49.88,4,WATCH,1
64,DC_Mini_Motor_01,1,63,2026-05-01 09:15:45,0.313,0.0614,0.979,0.342,1.133,0.375,0.3384,51.69,4,WATCH,1
65,DC_Mini_Motor_01,1,64,2026-05-01 09:16:00,-0.1531,-0.1977,1.2822,-0.981,2.757,-0.505,0.3772,51.42,4,WATCH,1
66,DC_Mini_Motor_01,1,65,2026-05-01 09:16:15,0.2588,0.158,0.7743,3.098,2.421,-0.544,0.3784,51.25,4,WATCH,1
67,DC_Mini_Motor_01,1,66,2026-05-01 09:16:30,-0.0869,0.1173,0.661,-1.472,1.147,-0.848,0.3693,51.49,4,WATCH,1
68,DC_Mini_Motor_01,1,67,2026-05-01 09:16:45,-0.0027,0.0592,1.3842,2.483,-1.18,-0.064,0.3891,52.04,4,WATCH,1
69,DC_Mini_Motor_01,1,68,2026-05-01 09:17:00,0.0092,-0.2937,0.7249,2.092,2.682,-0.955,0.406,52.83,4,WATCH,1
70,DC_Mini_Motor_01,1,69,2026-05-01 09:17:15,0.3736,0.0384,1.176,4.568,-0.106,-2.933,0.4008,52.84,4,WATCH,1
71,DC_Mini_Motor_01,1,70,2026-05-01 09:17:30,-0.0311,-0.0176,1.4115,0.527,-1.461,2.249,0.417,54.22,4,WATCH,1
72,DC_Mini_Motor_01,1,71,2026-05-01 09:17:45,0.0374,-0.072,0.5894,2.775,3.424,-0.673,0.4262,53.52,4,WATCH,1
73,DC_Mini_Motor_01,1,72,2026-05-01 09:18:00,0.2742,-0.2343,0.7642,5.181,-3.415,1.382,0.4308,54.38,4,WATCH,1
74,DC_Mini_Motor_01,1,73,2026-05-01 09:18:15,-0.0063,0.433,0.8896,1.538,-0.125,-6.751,0.4489,55.2,3,WARNING,2
75,DC_Mini_Motor_01,1,74,2026-05-01 09:18:30,-0.2862,-0.1504,0.7198,-1.722,0.568,3.18,0.4202,55.55,3,WARNING,2
76,DC_Mini_Motor_01,1,75,2026-05-01 09:18:45,0.4272,-0.0943,1.1604,3.139,-3.661,-4.607,0.4594,55.26,3,WARNING,2
77,DC_Mini_Motor_01,1,76,2026-05-01 09:19:00,-0.3202,0.2032,0.7196,0.628,-4.105,0.727,0.4725,56.26,3,WARNING,2
78,DC_Mini_Motor_01,1,77,2026-05-01 09:19:15,-0.1312,-0.1681,0.5811,1.258,1.802,0.348,0.4582,56.97,3,WARNING,2
79,DC_Mini_Motor_01,1,78,2026-05-01 09:19:30,0.1832,0.3189,1.2698,-0.263,-0.777,1.608,0.4658,57.83,3,WARNING,2
80,DC_Mini_Motor_01,1,79,2026-05-01 09:19:45,0.1862,-0.4879,1.1051,-5.459,0.552,0.804,0.5087,56.71,3,WARNING,2
81,DC_Mini_Motor_01,1,80,2026-05-01 09:20:00,-0.3825,0.3009,0.8935,-2.084,1.103,-1.102,0.5001,57.24,3,WARNING,2
82,DC_Mini_Motor_01,1,81,2026-05-01 09:20:15,0.0086,0.2554,1.4362,1.137,-0.752,-5.52,0.5086,58.55,3,WARNING,2
83,DC_Mini_Motor_01,1,82,2026-05-01 09:20:30,-0.0175,0.0117,1.4633,-0.908,1.931,4.492,0.4634,59.07,3,WARNING,2
84,DC_Mini_Motor_01,1,83,2026-05-01 09:20:45,-0.4166,-0.0248,0.7745,-1.201,2.048,0.234,0.4676,57.66,3,WARNING,2
85,DC_Mini_Motor_01,1,84,2026-05-01 09:21:00,-0.0404,-0.061,1.4654,2.098,-2.079,1.974,0.4862,58.94,3,WARNING,2
86,DC_Mini_Motor_01,1,85,2026-05-01 09:21:15,0.2142,-0.0769,0.553,5.55,1.289,3.348,0.4976,58.95,3,WARNING,2
87,DC_Mini_Motor_01,1,86,2026-05-01 09:21:30,0.0989,-0.1978,0.5694,0.152,-2.518,-3.035,0.4848,58.36,3,WARNING,2
88,DC_Mini_Motor_01,1,87,2026-05-01 09:21:45,0.169,0.2455,0.6253,0.171,-0.771,2.638,0.4728,58.27,3,WARNING,2
89,DC_Mini_Motor_01,1,88,2026-05-01 09:22:00,0.1413,0.2278,1.4287,-1.47,-1.501,2.256,0.5027,58.28,3,WARNING,2
90,DC_Mini_Motor_01,1,89,2026-05-01 09:22:15,-0.2688,0.4025,1.0567,3.417,0.741,-4.475,0.5006,58.12,3,WARNING,2
91,DC_Mini_Motor_01,1,90,2026-05-01 09:22:30,0.3966,0.1496,0.7977,1.025,1.527,3.292,0.4822,58.49,3,WARNING,2
92,DC_Mini_Motor_01,1,91,2026-05-01 09:22:45,-0.2766,-0.3022,1.2996,1.677,-0.558,4.044,0.4891,58.82,3,WARNING,2
93,DC_Mini_Motor_01,1,92,2026-05-01 09:23:00,0.3613,0.1912,0.7466,-2.697,-0.183,1.804,0.4955,59.51,3,WARNING,2
94,DC_Mini_Motor_01,1,93,2026-05-01 09:23:15,0.1413,0.4219,0.8954,3.967,4.325,1.096,0.4887,58.33,3,WARNING,2
95,DC_Mini_Motor_01,1,94,2026-05-01 09:23:30,0.1821,0.1404,0.5805,0.378,2.062,3.552,0.4745,58.48,3,WARNING,2
96,DC_Mini_Motor_01,1,95,2026-05-01 09:23:45,0.3212,0.3731,0.9053,2.92,-3.502,1.855,0.5042,58.02,3,WARNING,2
97,DC_Mini_Motor_01,1,96,2026-05-01 09:24:00,-0.0029,-0.0245,1.4836,3.889,2.636,1.439,0.4916,58.89,3,WARNING,2
98,DC_Mini_Motor_01,1,97,2026-05-01 09:24:15,-0.2127,-0.1935,1.4173,4.264,3.984,-0.925,0.4903,58.15,3,WARNING,2
99,DC_Mini_Motor_01,1,98,2026-05-01 09:24:30,-0.1099,-0.0275,0.5001,6.362,-3.229,-0.746,0.5092,58.52,3,WARNING,2
100,DC_Mini_Motor_01,1,99,2026-05-01 09:24:45,0.3344,-0.2164,0.7079,-0.695,-0.55,-0.566,0.4993,59.17,3,WARNING,2
101,DC_Mini_Motor_01,1,100,2026-05-01 09:25:00,-0.163,0.2344,1.4226,2.346,-9.128,4.852,0.5122,58.26,3,WARNING,2
102,DC_Mini_Motor_01,1,101,2026-05-01 09:25:15,0.288,0.1786,0.6576,0.497,-0.791,4.001,0.4834,58.63,3,WARNING,2
103,DC_Mini_Motor_01,1,102,2026-05-01 09:25:30,-0.1237,-0.4115,1.22,0.146,1.22,0.812,0.4902,57.32,3,WARNING,2
104,DC_Mini_Motor_01,1,103,2026-05-01 09:25:45,0.0751,0.0433,1.5157,-4.873,0.711,-6.523,0.5144,58.48,3,WARNING,2
105,DC_Mini_Motor_01,1,104,2026-05-01 09:26:00,-0.4638,0.0614,0.8055,-5.947,-4.931,-1.022,0.5051,57.76,3,WARNING,2
106,DC_Mini_Motor_01,1,105,2026-05-01 09:26:15,-0.0036,0.2477,1.4533,2.339,2.016,-1.114,0.5146,58.11,3,WARNING,2
107,DC_Mini_Motor_01,1,106,2026-05-01 09:26:30,0.3059,-0.3732,0.9877,-1.204,-4.653,-0.97,0.4906,57.62,3,WARNING,2
108,DC_Mini_Motor_01,1,107,2026-05-01 09:26:45,-0.2263,-0.4324,0.9791,4.588,-0.849,-1.913,0.4896,58.33,3,WARNING,2
109,DC_Mini_Motor_01,1,108,2026-05-01 09:27:00,0.0546,0.0837,1.4713,2.459,3.312,5.081,0.4893,58.73,3,WARNING,2
110,DC_Mini_Motor_01,1,109,2026-05-01 09:27:15,-0.0158,0.0306,0.4942,-3.034,-2.758,-2.191,0.4935,59.05,3,WARNING,2
111,DC_Mini_Motor_01,1,110,2026-05-01 09:27:30,0.0337,0.1326,0.5453,-3.326,6.431,2.671,0.4844,57.87,3,WARNING,2
112,DC_Mini_Motor_01,1,111,2026-05-01 09:27:45,-0.3155,-0.0909,0.6336,-5.207,1.382,-1.755,0.4921,58.84,3,WARNING,2
113,DC_Mini_Motor_01,1,112,2026-05-01 09:28:00,-0.4604,0.1321,1.2113,5.996,-1.066,0.547,0.5139,58.95,3,WARNING,2
114,DC_Mini_Motor_01,1,113,2026-05-01 09:28:15,0.3828,-0.2216,1.0429,-1.002,10.02,1.388,0.462,58.69,3,WARNING,2
115,DC_Mini_Motor_01,1,114,2026-05-01 09:28:30,-0.2762,-0.3966,1.1896,-1.532,0.611,0.168,0.5176,58.5,3,WARNING,2
116,DC_Mini_Motor_01,1,115,2026-05-01 09:28:45,-0.0524,-0.4968,0.9945,-2.87,-2.348,-7.844,0.4836,58.65,3,WARNING,2
117,DC_Mini_Motor_01,1,116,2026-05-01 09:29:00,-0.3383,-0.1725,0.7034,-5.386,-0.052,2.361,0.4838,58.85,3,WARNING,2
118,DC_Mini_Motor_01,1,117,2026-05-01 09:29:15,0.075,0.1768,0.5421,-5.142,1.694,-1.417,0.4922,59.3,3,WARNING,2
119,DC_Mini_Motor_01,1,118,2026-05-01 09:29:30,-0.1547,-0.0433,0.5145,-3.87,-0.118,-0.428,0.5011,58.03,3,WARNING,2
120,DC_Mini_Motor_01,1,119,2026-05-01 09:29:45,0.0263,-0.2065,0.547,-3.958,-2.775,6.256,0.5029,59.03,3,WARNING,2
121,DC_Mini_Motor_01,1,120,2026-05-01 09:30:00,-0.3614,0.1374,1.2942,-1.199,-2.04,-0.802,0.4826,58.21,3,WARNING,2
122,DC_Mini_Motor_01,1,121,2026-05-01 09:30:15,-0.13,0.3378,1.2277,3.711,0.803,-0.556,0.4527,59.01,3,WARNING,2
123,DC_Mini_Motor_01,1,122,2026-05-01 09:30:30,-0.0749,-0.1448,1.4443,-3.872,-0.253,2.171,0.4823,57.19,3,WARNING,2
124,DC_Mini_Motor_01,1,123,2026-05-01 09:30:45,-0.053,-0.4612,0.9113,-1.294,2.966,-1.061,0.462,58.33,3,WARNING,2
125,DC_Mini_Motor_01,1,124,2026-05-01 09:31:00,-0.1785,-0.4226,1.2519,-0.297,-0.961,2.081,0.5056,58.41,3,WARNING,2
126,DC_Mini_Motor_01,1,125,2026-05-01 09:31:15,-0.3463,0.1794,1.3226,1.266,1.145,0.713,0.5006,57.8,3,WARNING,2
127,DC_Mini_Motor_01,1,126,2026-05-01 09:31:30,0.0407,0.1094,1.4584,1.993,-2.139,-5.245,0.4693,58.99,3,WARNING,2
128,DC_Mini_Motor_01,1,127,2026-05-01 09:31:45,0.0515,-0.079,1.4935,-0.957,-0.626,2.038,0.5009,58.45,3,WARNING,2
129,DC_Mini_Motor_01,1,128,2026-05-01 09:32:00,0.2939,0.0087,0.5528,2.017,-0.205,-3.799,0.5145,57.89,3,WARNING,2
130,DC_Mini_Motor_01,1,129,2026-05-01 09:32:15,-0.2324,-0.0257,1.4326,-6.284,0.737,-1.45,0.4852,59.08,3,WARNING,2
131,DC_Mini_Motor_01,1,130,2026-05-01 09:32:30,0.1513,-0.0574,0.4683,3.021,0.033,1.012,0.5241,58.47,3,WARNING,2
132,DC_Mini_Motor_01,1,131,2026-05-01 09:32:45,0.0428,0.0392,0.485,-0.457,-0.558,-2.127,0.5214,58.1,3,WARNING,2
133,DC_Mini_Motor_01,1,132,2026-05-01 09:33:00,0.0247,-0.4128,1.284,0.39,-1.834,-0.483,0.4981,58.36,3,WARNING,2
134,DC_Mini_Motor_01,1,133,2026-05-01 09:33:15,-0.0109,0.4464,1.12,-3.114,1.446,-5.519,0.4651,58.62,3,WARNING,2
135,DC_Mini_Motor_01,1,134,2026-05-01 09:33:30,0.2695,0.0913,0.5808,-5.206,0.446,-5.832,0.5085,58.37,3,WARNING,2
136,DC_Mini_Motor_01,1,135,2026-05-01 09:33:45,0.1475,0.4729,1.0625,-1.999,4.062,-5.398,0.4912,59.3,3,WARNING,2
137,DC_Mini_Motor_01,1,136,2026-05-01 09:34:00,-0.0337,-0.0199,0.5308,6.537,4.929,4.232,0.4709,57.57,3,WARNING,2
138,DC_Mini_Motor_01,1,137,2026-05-01 09:34:15,0.0383,-0.066,1.4782,3.417,2.185,0.441,0.4812,57.75,3,WARNING,2
139,DC_Mini_Motor_01,1,138,2026-05-01 09:34:30,-0.2734,0.0341,1.4701,0.716,-2.055,-4.273,0.5157,58.65,3,WARNING,2
140,DC_Mini_Motor_01,1,139,2026-05-01 09:34:45,0.0497,0.0511,1.4673,1.618,-0.523,-3.904,0.4776,58.09,3,WARNING,2
141,DC_Mini_Motor_01,1,140,2026-05-01 09:35:00,0.1411,0.2079,0.5121,-6.797,-1.322,1.375,0.5418,58.1,3,WARNING,2
142,DC_Mini_Motor_01,1,141,2026-05-01 09:35:15,0.0186,-0.0873,0.5194,-4.7,1.837,3.395,0.4793,58.65,3,WARNING,2
143,DC_Mini_Motor_01,1,142,2026-05-01 09:35:30,-0.008,-0.0063,1.4866,1.151,-3.732,-3.928,0.5034,58.6,3,WARNING,2
144,DC_Mini_Motor_01,1,143,2026-05-01 09:35:45,-0.4399,0.0848,0.8369,-2.575,-1.066,-1.559,0.4768,57.77,3,WARNING,2
145,DC_Mini_Motor_01,1,144,2026-05-01 09:36:00,-0.4698,0.1348,0.8936,-3.449,0.859,-1.365,0.5027,58.43,3,WARNING,2
146,DC_Mini_Motor_01,1,145,2026-05-01 09:36:15,-0.395,-0.1452,0.8351,1.685,1.081,4.631,0.4642,59.17,3,WARNING,2
147,DC_Mini_Motor_01,1,146,2026-05-01 09:36:30,-0.4391,-0.2388,0.9273,1.343,2.827,-3.927,0.5058,58.32,3,WARNING,2
148,DC_Mini_Motor_01,1,147,2026-05-01 09:36:45,-0.2257,0.0485,1.443,2.626,-2.111,2.694,0.488,58.6,3,WARNING,2
149,DC_Mini_Motor_01,1,148,2026-05-01 09:37:00,0.3355,0.0518,1.3256,-0.791,-2.79,1.198,0.4806,57.65,3,WARNING,2
150,DC_Mini_Motor_01,1,149,2026-05-01 09:37:15,0.4197,0.0012,0.7636,1.739,-1.058,-4.241,0.498,57.6,3,WARNING,2
151,DC_Mini_Motor_01,1,150,2026-05-01 09:37:30,0.0715,0.0301,0.516,2.967,0.591,-5.721,0.4992,57.6,3,WARNING,2
152,DC_Mini_Motor_01,1,151,2026-05-01 09:37:45,0.1954,-0.4273,1.1048,0.882,4.857,2.02,0.4907,58.38,3,WARNING,2
153,DC_Mini_Motor_01,1,152,2026-05-01 09:38:00,-0.1708,-0.4747,1.0998,0.47,-2.669,-1.713,0.5232,57.82,3,WARNING,2
154,DC_Mini_Motor_01,1,153,2026-05-01 09:38:15,-0.2613,-0.307,0.7428,0.675,3.893,2.044,0.4681,58.08,3,WARNING,2
155,DC_Mini_Motor_01,1,154,2026-05-01 09:38:30,-0.1879,-0.2858,0.6665,-1.671,2.383,-0.83,0.4731,58.11,3,WARNING,2
156,DC_Mini_Motor_01,1,155,2026-05-01 09:38:45,-0.0916,0.4987,0.9405,-2.328,2.217,3.697,0.4997,58.93,3,WARNING,2
157,DC_Mini_Motor_01,1,156,2026-05-01 09:39:00,-0.0523,-0.1578,0.5066,0.555,2.331,5.943,0.521,58.02,3,WARNING,2
158,DC_Mini_Motor_01,1,157,2026-05-01 09:39:15,0.1567,0.3902,0.6699,2.899,2.58,2.01,0.5379,59.65,3,WARNING,2
159,DC_Mini_Motor_01,1,158,2026-05-01 09:39:30,-0.0314,0.0552,0.5361,1.918,3.407,-0.784,0.4889,57.09,3,WARNING,2
160,DC_Mini_Motor_01,1,159,2026-05-01 09:39:45,-0.2925,-0.277,0.7076,-1.918,0.405,2.244,0.491,58.51,3,WARNING,2
161,DC_Mini_Motor_01,1,160,2026-05-01 09:40:00,-0.0141,0.0319,1.4539,0.125,-2.649,0.556,0.4528,58.51,3,WARNING,2
162,DC_Mini_Motor_01,1,161,2026-05-01 09:40:15,-0.3892,-0.0401,1.316,-5.812,-2.464,-4.625,0.489,57.99,3,WARNING,2
163,DC_Mini_Motor_01,1,162,2026-05-01 09:40:30,-0.0969,-0.1794,1.4476,2.432,-0.565,1.465,0.5032,59.07,3,WARNING,2
164,DC_Mini_Motor_01,1,163,2026-05-01 09:40:45,0.0081,0.0656,0.5073,-1.643,3.298,-1.857,0.4841,58.6,3,WARNING,2
165,DC_Mini_Motor_01,1,164,2026-05-01 09:41:00,0.4408,0.2269,1.0257,-1.813,1.101,-5.981,0.4812,57.99,3,WARNING,2
166,DC_Mini_Motor_01,1,165,2026-05-01 09:41:15,0.092,-0.3643,1.3238,3.485,-5.522,-1.504,0.4938,58.78,3,WARNING,2
167,DC_Mini_Motor_01,1,166,2026-05-01 09:41:30,-0.4857,-0.0853,0.9477,-1.736,2.725,0.812,0.4827,57.14,3,WARNING,2
168,DC_Mini_Motor_01,1,167,2026-05-01 09:41:45,-0.3047,0.2949,1.2211,-5.713,-0.377,-1.12,0.5025,57.51,3,WARNING,2
169,DC_Mini_Motor_01,1,168,2026-05-01 09:42:00,-0.4547,0.0162,0.8284,-7.665,3.327,2.287,0.4945,59.53,3,WARNING,2
170,DC_Mini_Motor_01,1,169,2026-05-01 09:42:15,-0.3361,0.2383,1.257,-4.857,1.101,-2.141,0.4922,57.75,3,WARNING,2
171,DC_Mini_Motor_01,1,170,2026-05-01 09:42:30,-0.1482,0.3975,0.8117,-3.224,-2.174,3.864,0.4673,59.17,3,WARNING,2
172,DC_Mini_Motor_01,1,171,2026-05-01 09:42:45,-0.0047,0.0053,1.4911,-0.131,1.214,2.202,0.4922,58.79,3,WARNING,2
173,DC_Mini_Motor_01,1,172,2026-05-01 09:43:00,0.324,-0.2273,1.3018,4.216,0.597,-3.279,0.5084,58.43,3,WARNING,2
174,DC_Mini_Motor_01,1,173,2026-05-01 09:43:15,-0.0421,0.0355,0.5139,1.075,-2.042,-2.196,0.4871,57.9,3,WARNING,2
